Monsoon_Intensity,Topography_Drainage,River_Management,Deforestation,Urbanization,Climate_Change,Dams_Quality,Siltation,Agricultural_Practices,Encroachments,Ineffective_Disaster_Preparedness,Drainage_Systems,Coastal_Vulnerability,Landslides,Watersheds,Deteriorating_Infrastructure,Population_Score,Wetland_Loss,Inadequate_Planning,Political_Factors,Flood_Probability,Annual_Rainfall,Seasonal_Rainfall,Temperature,Humidity,Cloud_Visibility,Flood
2,6,6,3,4,1,6,6,5,4,4,2,5,3,3,4,5,4,7,5,0.425,1246.2,726.5,24,56.1,9.6,0
9,,8,8,8,6,4,3,6,4,7,4,10,4,4,10,8,5,4,6,0.62,2992.3,1699.1,28.6,89.5,6,1
2,6,7,5,6,9,10,7,4,5,5,4,1,2,8,4,4,3,3,6,0.505,1573.6,918.6,31.2,62.4,8.2,1
2,4,11,4,4,7,6,5,5,3,4,4,2,1,8,7,6,4,4,4,0.475,1499.9,855.8,30.1,58.3,8.9,0
9,6,10,5,4,3,3,5,2,,4,3,5,9,5,11,4,5,3,3,0.545,2835.6,1628.9,25.3,88.3,5.3,1
6,6,4,5,8,5,5,7,8,6,5,10,4,4,9,4,6,5,2,4,0.565,2268.4,1351.5,27.5,72.6,7,1
6,5,4,2,6,6,7,3,7,3,1,2,5,4,5,6,11,5,8,0,0.48,2322.2,1340.1,27.3,79.8,6.8,0
7,1,5,4,5,3,2,3,5,3,11,6,0,7,4,5,4,8,4,2,0.445,2410.9,1394.1,26.7,82.6,6.9,0
2,4,5,7,3,5,3,4,4,7,5,2,2,3,6,4,9,6,7,2,0.45,1442.1,841.8,26.8,69,8.2,0
7,5,4,2,5,7,6,7,2,3,4,3,3,4,4,9,9,3,6,2,0.475,2608.5,1521.4,27.2,75.8,5.7,0
5,7,6,6,4,5,5,3,7,3,6,5,2,6,9,5,2,6,10,10,0.56,1996.7,1171.9,26.2,72.4,7.5,1
9,7,2,2,2,1,4,8,10,4,7,7,4,4,5,7,6,4,7,4,0.52,2742.8,1577.6,23.5,85,7.2,1
3,2,4,12,5,5,,7,4,3,8,1,8,4,4,4,8,6,3,8,0.51,1583.7,899.9,27.9,69.7,7.5,1
7,4,11,4,8,3,8,4,4,5,6,5,3,4,4,6,2,4,2,9,0.515,2449.7,1397.3,26.6,78.2,6.8,1
7,2,6,8,4,2,9,4,6,4,3,2,4,13,8,6,5,8,7,4,0.56,2491.3,1449.7,46.8,88.4,6.1,1
5,2,3,7,7,6,9,3,4,6,5,10,8,5,5,9,6,6,2,5,0.565,2094.7,1248.7,29,69.1,7.3,1
6,5,5,3,6,8,4,6,2,7,3,11,4,3,7,7,5,5,5,10,0.56,2410,1408.6,30.3,74.2,6.1,1
6,4,5,8,6,2,0,4,3,6,0,6,5,4,6,7,5,4,4,7,0.46,2147.5,1254.2,23,73.4,7.4,0
5,5,2,6,6,5,6,6,8,6,5,5,4,4,3,3,3,3,6,2,0.465,2033.1,1186.9,26.7,73.7,8,0
5,6,7,5,4,3,4,8,4,5,5,3,3,4,5,5,6,4,3,5,0.47,1926.7,1101.2,24.4,71.6,7.8,0
5,8,8,7,6,5,7,10,4,2,5,5,6,5,3,0,3,7,5,2,0.515,2073.9,1217.9,28.8,75,6.7,1
6,8,10,3,6,7,9,3,8,2,9,4,4,2,5,10,4,3,3,3,0.545,2402.9,1370.1,29.5,69.1,0.2,1
5,4,8,3,,4,5,8,8,8,5,3,7,4,3,8,4,6,9,5,0.55,2025.7,1185.7,25.2,73.5,7.9,1
10,7,5,3,4,8,6,2,6,4,3,8,3,9,4,10,4,4,5,10,0.575,3335.9,1968,29.5,87.9,4.5,1
2,5,,5,4,3,2,1,3,5,4,6,6,3,4,6,2,4,3,8,0.415,1352.9,770.7,25.1,100,9.7,0
2,6,2,5,0,4,4,6,7,8,6,6,2,4,7,5,2,4,8,2,0.45,1378.5,775,25.4,62.8,9.5,0
4,12,7,8,4,9,2,6,4,4,5,2,10,4,8,7,3,6,5,5,0.575,2015.7,1174.1,31,70.6,7.3,1
5,5,0,2,3,4,8,3,5,1,10,7,3,5,2,5,11,5,4,5,0.465,2059.5,1167.1,26.4,68.7,7.9,0
5,6,3,6,7,3,4,4,3,6,3,9,6,4,5,6,3,2,1,8,0.47,2050.9,1182.4,26,64.7,7.4,0
4,4,0,8,8,5,10,2,3,6,5,10,3,6,8,8,3,4,5,6,0.54,1822.9,1020.8,29.4,69.1,8,1
6,5,1,7,7,7,3,8,6,2,3,5,11,12,8,5,11,3,4,4,0.59,2273.5,1369.9,30.2,77.6,6.5,1
4,11,3,2,3,5,6,4,7,13,8,4,7,7,8,7,5,6,3,7,0.6,1859.6,1076.3,26.5,73.5,8.6,1
7,4,6,9,6,5,6,8,6,3,3,1,2,5,6,6,8,7,1,4,0.515,2490.5,1450.5,28.8,79.9,5.6,1
5,2,5,3,5,7,5,2,7,4,5,5,2,4,3,5,3,4,7,9,0.46,2143.9,1211.8,30.3,73.4,7,0
4,5,7,3,5,7,5,1,4,2,4,5,3,3,9,3,7,8,3,8,0.48,1991.6,1159.8,28.8,68.9,8,0
1,4,5,4,0,2,5,8,3,2,8,4,4,3,5,11,6,5,8,6,0.47,1045.9,582.1,23.9,55,9.4,0
9,5,6,4,2,4,5,1,6,2,9,3,4,3,3,4,4,7,9,6,0.48,2950.6,1721.9,25.5,91.6,5.7,0
6,5,7,9,1,4,6,5,6,4,3,7,3,2,2,5,1,2,1,5,0.42,2297.8,1383.9,25.9,69,7,0
7,5,8,6,3,5,2,4,8,8,2,6,6,4,5,7,3,5,4,1,0.495,2533.4,1483.4,25.5,80.5,6.3,0
4,3,5,4,4,4,3,6,5,11,4,3,3,4,4,8,4,7,4,4,0.47,1864.7,1104,26.2,69.4,8.2,0
4,5,4,5,6,4,5,4,5,6,5,5,8,4,4,4,9,7,2,9,0.525,1801.7,1057.5,28.2,71,7.5,1
3,6,5,7,1,3,8,5,9,8,5,5,7,2,3,3,8,5,6,3,0.51,1537.7,901.2,25.5,58.4,8.6,1
6,5,5,4,8,8,9,2,4,6,6,4,5,8,3,9,8,8,6,5,0.595,2441.6,1424.7,30.3,78.7,6.9,1
8,5,6,4,7,2,4,6,,9,3,13,5,3,10,9,3,5,4,8,0.59,2658.8,1549.9,24.4,87.5,6.2,1
4,3,5,7,,5,1,2,5,8,6,7,3,5,7,2,5,5,2,2,0.45,1910.6,1117.1,28.1,64.6,8.4,0
7,2,7,7,8,7,1,3,1,2,6,9,9,4,4,1,4,1,8,4,0.475,2593.5,1480.8,30.9,74.4,6.3,0
4,6,4,0,7,6,9,10,,4,9,6,3,3,2,5,3,3,8,7,0.515,1954.9,1170.5,29.3,66.9,7,1
5,1,6,0,6,5,6,8,4,5,5,10,3,4,5,8,5,7,2,3,0.49,2063.7,1174.1,28.3,82.1,7,0
4,5,6,5,1,6,4,10,4,2,3,9,5,4,5,4,1,4,2,5,0.445,1847.6,1063.9,27.4,73.4,7.6,0
2,8,1,4,9,7,7,4,7,6,5,2,8,6,15,7,8,4,6,7,0.615,1403.5,782.1,29.5,58.7,9.1,1
6,6,4,5,8,3,4,5,13,4,2,3,4,5,8,6,6,5,6,4,0.535,2180.9,1262.3,25.9,77.2,7.4,1
4,,1,5,5,2,5,10,6,7,4,1,9,3,6,3,3,4,4,4,0.435,1782.7,985,25.8,67.6,8.4,0
,7,8,3,1,3,3,5,4,6,9,8,4,8,4,1,5,5,6,2,0.475,1506.4,872.5,24.4,61.1,9,0
7,3,3,4,4,4,5,5,6,2,4,4,2,6,5,8,10,8,9,6,0.525,2461.9,1404.6,26.9,88.7,6.7,1
6,5,2,4,3,7,4,5,2,6,4,8,9,5,8,5,7,4,8,3,0.525,2449.3,1416.7,27.8,76.3,6.7,1
6,5,7,3,3,6,2,6,8,5,7,5,6,3,5,5,1,7,5,2,0.485,2363.9,1375.7,26.6,82,7.1,0
4,5,4,2,9,6,5,6,5,10,4,4,3,5,14,7,4,1,6,4,0.54,1961.6,1136.1,29.3,64,7.5,1
8,4,6,7,10,5,2,4,5,4,7,8,5,9,3,5,9,5,3,4,0.565,2695.3,1513.2,28.5,85.1,5.8,1
7,6,3,6,9,3,4,11,5,,3,9,5,5,5,1,5,8,5,6,0.545,2346.6,1326.7,26,83.5,6.5,1
5,5,6,7,4,3,3,4,2,5,5,7,3,5,6,7,5,6,3,6,0.485,2065.7,1218.8,26.4,75.5,7.7,0
2,5,6,11,6,8,4,7,6,5,5,0,2,9,7,4,4,8,2,7,0.54,1463.3,866.7,31.7,62.5,8.3,1
3,4,7,6,6,4,6,7,7,6,2,5,1,3,5,7,2,2,7,1,0.455,1603.6,939.4,26.2,60.1,8.4,0
5,5,8,5,7,4,4,4,5,4,3,11,5,4,4,9,6,2,7,5,0.535,2048.7,1162.7,26.6,65.4,7.7,1
10,9,2,5,5,6,4,8,6,5,2,3,2,6,4,1,6,16,5,2,0.535,3172,1845.5,27.2,100,5.3,1
7,8,4,6,7,5,9,5,5,7,6,4,3,4,3,4,2,9,6,3,0.535,2577.1,1496.5,27.4,85.9,7.6,1
3,6,6,6,1,10,2,3,5,10,4,4,4,8,7,4,7,6,2,3,0.505,1872,1080.3,31.5,72.3,7.6,1
10,5,4,4,3,2,5,3,4,,3,1,8,0,3,2,5,7,8,5,0.44,3092.1,1818.3,23.3,97.8,5.4,0
7,7,5,6,3,5,5,3,7,8,0,5,4,5,4,4,7,3,6,3,0.485,2513.8,1434.6,24.7,75.9,6.3,0
4,4,10,5,7,6,1,2,3,2,3,4,5,3,7,9,4,2,2,4,0.435,1897.7,1090.7,29.9,64.6,7.7,0
6,8,7,6,5,8,11,5,5,6,5,2,5,5,5,4,6,6,9,3,0.585,2356.2,1382.8,29.2,78.2,7,1
3,4,5,3,5,6,5,4,6,4,3,3,6,5,6,2,1,4,8,5,0.44,1660.4,941.8,29.7,65.9,8.3,0
6,3,1,2,5,4,3,9,8,3,3,2,5,3,3,5,1,4,5,6,0.405,2255.8,1340.6,25.3,75.6,7.3,0
7,8,3,4,3,3,3,1,3,5,3,6,5,9,3,6,8,5,2,6,0.465,2410.9,1398.4,25.7,80.9,7.8,0
8,3,9,6,6,5,5,4,5,6,5,4,4,6,6,11,5,6,7,4,0.575,2769,1631.7,26.7,86.5,5.9,1
8,8,6,3,4,10,3,9,2,7,4,5,5,4,7,6,5,6,7,2,0.555,2852.9,1644.9,32.3,86.5,5.6,1
2,8,1,4,3,4,4,7,5,9,5,3,6,5,4,2,9,6,5,3,0.475,1361.9,776.2,25.6,63.5,9.1,0
8,4,6,5,4,8,6,5,4,7,3,4,5,8,2,5,3,8,2,6,0.515,2749.9,1605,28.7,87.6,5.3,1
6,3,5,8,9,4,6,11,2,8,3,4,6,7,2,4,7,4,2,5,0.53,2279.9,1381.3,28.9,76.7,6.7,1
3,5,2,3,3,4,3,3,5,5,5,4,5,6,6,0,8,7,4,1,0.41,1629.7,975.4,25.9,75.7,7.7,0
4,3,8,7,14,3,2,6,3,4,6,8,6,7,2,4,5,7,7,6,0.56,1809.9,1009,28.1,73.5,7.8,1
4,5,1,7,8,4,5,8,3,3,6,8,6,5,6,2,4,4,8,5,0.51,1936.7,1105.2,27.7,66.8,8.6,1
8,7,6,6,7,2,5,7,10,4,6,8,5,5,2,7,9,6,2,4,0.58,2667.6,1533.3,24.9,86,6.1,1
4,2,5,6,7,3,4,2,5,3,4,3,6,6,5,2,6,6,4,9,0.46,1747.3,984.2,25.2,71,7.9,0
6,6,5,2,4,6,5,5,5,,3,5,6,6,5,2,4,3,2,2,0.425,2436.5,1361.4,27.9,66.8,7.8,0
5,4,4,2,4,4,1,6,5,2,7,4,6,2,4,2,2,1,5,6,0.38,2003.2,1172.1,25.5,65.7,7.2,0
3,3,2,9,5,7,4,6,7,6,7,6,2,4,8,4,6,9,4,4,0.53,1736.5,1040.5,29.2,65,8.2,1
,6,5,9,5,3,1,7,4,6,5,7,4,7,6,5,7,2,4,5,0.515,2034.7,1165.5,25,66.9,8.1,1
3,5,5,3,3,2,3,6,6,3,5,1,5,4,6,7,4,2,6,3,0.41,1494.8,893,25.2,60.6,9,0
5,6,6,9,7,4,2,6,5,4,9,2,5,4,5,5,11,7,6,4,0.56,2095.8,1218,26,74.2,7.3,1
1,6,5,4,,5,3,6,7,0,6,3,7,5,5,4,6,5,10,7,0.505,1209.2,715.2,28.8,54.5,9.3,1
6,3,4,3,5,6,6,3,3,3,9,8,6,11,4,7,5,5,6,1,0.52,2352.8,1382.7,27.8,77.8,7.4,1
4,8,7,5,7,3,1,3,7,4,7,7,3,6,4,7,7,4,7,6,0.535,1758,1000.6,26.5,61.4,8.9,1
7,8,5,7,2,3,3,4,3,6,8,8,7,4,3,4,4,7,2,2,0.485,2497.1,1476.7,23.6,87.4,7.1,0
7,7,4,4,5,,7,10,4,6,3,4,5,2,5,3,5,4,7,3,0.5,2480.6,1440,27.6,75.2,6.6,1
1,5,4,5,3,4,1,3,5,6,5,3,6,3,5,2,4,4,3,4,0.38,1088.8,618.1,26.2,53.9,8.9,0
6,5,5,6,0,5,2,4,5,6,7,7,10,8,13,7,5,5,3,7,0.58,2352,1366.3,46.8,76.4,7.4,1
5,5,8,7,4,,5,7,9,5,3,7,4,6,5,6,3,7,7,6,0.58,2127.9,1289.6,29.2,73.3,7,1
5,0,5,6,8,3,5,3,1,3,4,3,10,3,5,7,3,3,5,8,0.45,2006.7,1146,26.7,75.2,6.8,0
,7,4,5,2,4,4,13,6,5,5,3,5,7,3,5,6,1,4,5,0.485,1676.9,920,24.4,58.6,8.5,0
4,5,3,5,1,6,4,3,,6,5,7,3,5,5,2,6,5,5,6,0.455,1935.5,1115.2,25.4,70.2,7.2,0
4,4,7,11,6,5,7,8,3,5,3,8,10,9,8,1,0,8,6,8,0.605,1880.3,1076.2,27.7,73.9,7.1,1
6,2,5,2,,9,7,7,6,5,2,5,6,6,2,9,9,9,3,8,0.57,2477.8,1418.6,30.6,74.5,6,1
3,4,4,8,7,4,6,5,4,2,4,7,5,3,8,3,4,3,4,6,0.47,1570.9,866.7,27.1,63.7,8.4,0
9,3,8,2,7,5,7,8,6,4,3,6,6,5,7,6,2,4,5,3,0.53,2985.1,1743.2,27.8,84.8,5.3,1
1,3,3,3,2,10,6,3,4,3,6,6,8,6,5,9,2,3,4,4,0.455,1414.4,823.7,30.9,56.9,8.5,0
5,5,,4,6,5,6,7,3,3,4,6,4,9,3,2,2,5,6,5,0.46,2105.2,1236.8,27.4,72.4,7.3,0
1,5,4,8,5,10,3,8,,5,5,4,5,5,3,6,6,5,9,6,0.525,1361.8,798.6,30.4,53.3,9,1
3,3,0,4,7,7,4,5,5,5,3,3,5,3,1,7,3,8,4,3,0.415,1555.1,941.7,29.1,71.9,7.3,0
5,3,2,5,4,0,8,3,7,4,9,5,12,1,8,4,6,10,7,7,0.55,1922.3,1074.1,22.1,76.1,8.4,1
6,7,5,7,5,4,4,2,3,5,6,4,2,3,2,4,5,10,5,5,0.47,2264.6,1282.5,26.5,80.9,6.6,0
5,4,4,7,10,6,2,5,3,6,4,2,2,6,3,3,3,6,4,5,0.45,2095.2,1218.6,29.5,74.9,6.7,0
7,3,5,5,6,6,3,6,5,6,10,7,3,5,6,4,5,9,5,1,0.535,8520.3,1510.3,28.8,84.3,6.3,1
3,1,7,4,3,4,7,7,4,6,10,5,8,6,13,5,5,5,6,11,0.6,1610.6,922.8,25.7,68.6,8.1,1
5,4,4,5,8,2,5,8,,5,6,4,5,3,2,7,7,9,6,5,0.52,1978.2,1100.5,26.6,82.6,7.9,1
4,10,2,5,5,4,7,7,2,3,7,5,5,4,3,1,8,5,7,9,0.515,1760.7,1028.4,26,67.2,7.9,1
8,5,5,1,10,5,4,3,6,7,9,10,4,4,4,5,10,11,4,6,0.605,2676.6,1565.9,29.1,96.4,5.9,1
3,5,1,4,2,6,4,4,4,3,5,1,3,12,4,6,2,1,5,2,0.385,1684.8,964,26.4,63.1,8,0
1,6,4,9,7,3,4,5,5,1,7,7,6,6,3,3,4,2,7,7,0.485,1128,658.1,27.6,48.7,9.6,0
2,3,3,4,5,4,7,7,2,3,8,8,7,5,5,2,4,5,7,3,0.47,1385.5,791,26.6,58.8,8.7,0
6,5,4,7,5,8,3,9,8,7,4,7,9,3,7,4,2,5,6,5,0.57,2406.7,1361.8,30,79.1,6,1
5,6,7,4,5,5,5,3,5,5,7,7,11,7,4,5,5,5,7,5,0.565,2091.5,1199.7,26.7,69.6,7,1
6,5,8,9,6,6,2,10,1,4,5,3,6,4,5,4,5,7,5,4,0.525,2331.4,1293.3,27.1,81.6,6.3,1
